"id","type","hostname","fqdn","probe","is_ipv4_only","ip_v4","as_v4","ip_v6","as_v6","city","country","company","nic_handle","geometry_type","latitude","longitude","tlsa_record","is_disabled","date_live","date_decommissioned","hardware_version","geom"
1,"Anchor","fi-tmp-as29432","fi-tmp-as29432.anchors.atlas.ripe.net",6003,False,"195.140.195.61",29432,"2001:67c:2b0:3d:92b1:1cff:fe1a:9145",29432,"Tampere","FI","TREX","TRE53-RIPE","Point","61.4981508","23.7610254","",True,"2013-02-03 16:09:44","2017-08-24 08:51:20",0,"0101000020E6100000E26C848FD2C23740F53CC967C3BF4E40"
3,"Anchor","ch-zrh-as34288","ch-zrh-as34288.anchors.atlas.ripe.net",6005,False,"46.234.32.16",34288,"2001:4b20:c000::2:1",34288,"Zurich","CH","Kantonsschule Zug","","Point","47.3686498","8.5391825","",True,"2013-02-10 09:54:53","2017-03-17 15:19:01",0,"0101000020E6100000AB2688BA0F142140A656A9EA2FAF4740"
4,"Anchor","it-trn-as12779","it-trn-as12779.anchors.atlas.ripe.net",6011,False,"213.212.129.68",12779,"2001:1418:10:a::",12779,"Turin","IT","IT.Gate","ITGA1-RIPE","Point","45.0913","7.6606","",True,"2013-02-25 10:42:12","2017-11-16 09:19:07",0,"0101000020E61000004DF38E5374A41E40F90FE9B7AF8B4640"
5,"Anchor","cz-prg-as25192","cz-prg-as25192.anchors.atlas.ripe.net",6006,False,"217.31.202.20",25192,"2001:1488:ffff::20",25192,"Prague","CZ","Nic.cz","","Point","50.0755381","14.4378005","",True,"2013-02-09 09:58:23","2017-05-02 12:47:29",0,"0101000020E61000004B581B6327E02C400E8D823BAB094940"
6,"Anchor","fr-cdg-as2486","fr-cdg-as2486.anchors.atlas.ripe.net",6004,False,"192.134.1.25",2486,"2001:67c:217c:4::2",2486,"Paris","FR","AFNIC","NFC1-RIPE","Point","48.856614","2.3522219","",True,"2013-02-04 16:30:51","2017-03-14 11:45:22",0,"0101000020E6100000D87A2BB759D10240DBA50D87A56D4840"
7,"Anchor","ie-dub-as2128","ie-dub-as2128.anchors.atlas.ripe.net",6007,False,"194.88.241.228",2128,"2001:7f8:18:141::3",2128,"Dublin","IE","INEX","","Point","53.3498053","-6.2603097","",True,"2013-02-07 09:59:11","2016-04-20 13:05:09",0,"0101000020E6100000875341A08E0A19C0D6BB896BC6AC4A40"
8,"Anchor","us-bos-as11488","us-bos-as11488.anchors.atlas.ripe.net",6010,False,"192.1.90.2",11488,"2620:3b:0:105a::c001:5a02",11488,"Boston","US","BBN Technologies","","Point","42.389725","-71.146438","",True,"2013-02-08 10:53:12","2017-03-22 13:52:33",0,"0101000020E610000011397D3D5FC951C080B74082E2314540"
10,"Anchor","no-osl-as39029","no-osl-as39029.anchors.atlas.ripe.net",6002,False,"87.238.48.242",39029,"2a02:c0:203:0:ffff:0:57ee:30f3",39029,"Oslo","NO","Redpill Linpro","RLHM-RIPE","Point","59.9138688","10.7522454","",True,"2013-02-05 16:09:41","2017-06-21 11:23:31",0,"0101000020E610000004221F4F26812540DA6A20A7F9F44D40"
11,"Anchor","at-vie-as1853","at-vie-as1853.anchors.atlas.ripe.net",6009,False,"193.170.114.240",1853,"2001:628:2005:1::2",1853,"Vienna","AT","Vienna University  ACOnet","","Point","48.2081743","16.3738189","",True,"2013-02-02 09:57:52","2017-10-11 09:32:33",0,"0101000020E61000006F206E98B25F3040112F9974A51A4840"
12,"Anchor","nl-ams-as3333","nl-ams-as3333.anchors.atlas.ripe.net",6001,False,"193.0.19.107",3333,"2001:67c:2e8:11::c100:136b",3333,"Amsterdam","NL","RIPE NCC","GII-RIPE","Point","52.37322231","4.88823707","",True,"2012-12-11 16:33:36","2017-11-02 14:06:37",0,"0101000020E6100000BDFABA048E8D134036CBA7BFC52F4A40"
13,"Anchor","sk-bts-as2607","sk-bts-as2607.anchors.atlas.ripe.net",6008,False,"194.160.223.106",2607,"2001:4118:106::6a",2607,"Bratislava","SK","SANET","UNOC","Point","48.1458923","17.1071373","",True,"2013-02-06 09:55:31","2017-11-06 10:09:38",0,"0101000020E610000087AE9F596D1B31407E9E5099AC124840"
14,"Anchor","de-ham-as12731","de-ham-as12731.anchors.atlas.ripe.net",6014,False,"213.128.137.33",12731,"2001:868:100:3401::4",12731,"Hamburg","DE","IPHH","","Point","53.550004","10.048331","",True,"2013-06-06 15:38:22","2016-11-30 15:45:41",0,"0101000020E610000015C440D7BE182440A855F48766C64A40"
15,"Anchor","ch-zrh-as559","ch-zrh-as559.anchors.atlas.ripe.net",6015,False,"130.59.80.2",559,"2001:620:0:8001::823b:5002",559,"Zurich","CH","SWITCH NOC","SNOC1-RIPE","Point","47.380125","8.54513","",True,"2013-06-07 15:28:24","2017-11-16 11:27:42",0,"0101000020E6100000102384471B1721402DB29DEFA7B04740"
16,"Anchor","lu-lux-as2602","lu-lux-as2602.anchors.atlas.ripe.net",6016,False,"158.64.58.244",2602,"2001:a18:0:404::4",2602,"Luxembourg","LU","RESTENA NOC","RNOC3-RIPE","Point","49.5035535","5.94730191","",True,"2013-06-25 11:16:48","2017-01-19 10:59:11",0,"0101000020E6100000A88D0B8309CA1740A724EB7074C04840"
17,"Anchor","de-ber-as25291","de-ber-as25291.anchors.atlas.ripe.net",6017,False,"37.49.152.204",25291,"2a00:7fc0:4000:11::2531:98cc",25291,"Berlin","DE","SysEleven","","Point","52.5","13.4","",True,"2013-08-22 14:39:31","2016-12-20 15:12:49",0,"0101000020E6100000CDCCCCCCCCCC2A400000000000404A40"
269,"Anchor","nl-ams-as3333-2","nl-ams-as3333-2.anchors.atlas.ripe.net",6019,False,"193.0.0.176",3333,"2001:67c:2e8:3::c100:b0",3333,"Amsterdam","NL","RIPE NCC","GII-RIPE","Point","52.302994","4.937893","",True,"2013-11-26 15:56:20","2020-12-03 09:47:51.310224",1,"0101000020E6100000DD96C80567C013402E71E481C8264A40"
270,"Anchor","de-fra-as5580","de-fra-as5580.anchors.atlas.ripe.net",6023,False,"80.94.66.74",5580,"2a02:d28:667:2::2",5580,"Frankfurt","DE","Hibernia Networks","","Point","50.12003","8.73527","",True,"2013-11-26 16:31:41","2017-03-14 11:05:56",1,"0101000020E6100000B875374F75782140FA449E245D0F4940"
